FID,Id,Name,Descript,Type,Comment,Symbol,DateTimeS,Elevation,Block,N,P,K,Mg,NDRE
0,0,s1,"Northing:9683062.24763447
Easting:245533.763390861
Description:",WPT, , ,2024-02-03T08:10:47+08:00,6.366800000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.296182006598000
1,0,s10,"Northing:9683237.34065183
Easting:245597.178613297
Description:",WPT, , ,2024-02-03T08:14:26+08:00,9.415670000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.292151004076000
2,0,s11,"Northing:9683308.11142189
Easting:245538.440768067
Description:",WPT, , ,2024-02-03T08:14:42+08:00,8.662419999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.346762001514000
3,0,s12,"Northing:9683380.54036411
Easting:245478.312484516
Description:",WPT, , ,2024-02-03T08:14:59+08:00,9.945000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.380421996117000
4,0,s13,"Northing:9683488.45680805
Easting:245493.124529001
Description:",WPT, , ,2024-02-03T08:16:24+08:00,8.942660000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.294948995113000
5,0,s14,"Northing:9683416.68395347
Easting:245552.646879145
Description:",WPT, , ,2024-02-03T08:19:03+08:00,11.741000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.369592994452000
6,0,s15,"Northing:9683345.49626173
Easting:245611.458077094
Description:",WPT, , ,2024-02-03T08:19:20+08:00,8.810980000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.263594001532000
7,0,s16,"Northing:9683274.81131205
Easting:245670.412611899
Description:",WPT, , ,2024-02-03T08:19:41+08:00,9.325970000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.275938004255000
8,0,s17,"Northing:9683270.17643975
Easting:245779.686979793
Description:",WPT, , ,2024-02-03T08:20:35+08:00,5.759530000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.331236988306000
9,0,s18,"Northing:9683339.49820734
Easting:245721.301937418
Description:",WPT, , ,2024-02-03T08:21:24+08:00,7.326480000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.230336993933000
10,0,s19,"Northing:9683411.95900182
Easting:245661.359788862
Description:",WPT, , ,2024-02-03T08:22:01+08:00,9.480689999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.270747005939000
